"Cache-Control Header","Cache-Control Header"
"Add Cache-Control: no-cache, private header","Add Cache-Control: no-cache, private header"
"When enabled, adds Cache-Control: no-cache, private to all frontend pages only. Restores the default behavior from OpenMage. Does NOT affect the admin panel.","When enabled, adds Cache-Control: no-cache, private to all frontend pages only. Restores the default behavior from OpenMage. Does NOT affect the admin panel."
